ID,term,concept,source,source_type,retrieval_date,hyperlink,definition,def_clean,source_work_title,source_book_title,source_work_url,def_ID,cluster,cluster_name
FORRT_accessibility,Accessibility,Accessibility,FORRT,forrt_github,2026-01-21,https://forrt.org/glossary/accessibility,"Accessibility refers to the ease of access and re-use of materials (e.g., data, code, outputs, publications) for academic purposes, particularly the ease of access is afforded to people with a chronic illness, disability and/or neurodivergence. These groups face numerous financial, legal and/or technical barriers within research, including (but not limited to) the acquisition of appropriately formatted materials and physical access to spaces. Accessibility also encompasses structural concerns about diversity, equity, inclusion, and representation (Pownall et al., 2021). Interfaces, events and spaces should be designed with accessibility in mind to ensure full participation, such as by ensuring that web-based images are colorblind friendly and have alternative text, or by using live captions at events (Brown et al., 2018; Pollet & Bond, 2021; World Wide Web Consortium, 2021).",accessibility refers ease access re use materials e g data code outputs publications academic purposes particularly ease access afforded people chronic illness disability neurodivergence groups face numerous financial legal technical barriers within research including limited acquisition appropriately formatted materials physical access spaces accessibility also encompasses structural concerns diversity equity inclusion representation pownall 2021 interfaces events spaces designed accessibility mind ensure full participation ensuring web based images colorblind friendly alternative text using live captions events brown 2018 pollet bond 2021 world wide web consortium 2021,NA,NA,NA,accessibility_1,1,"Equity, Diversity, and Inclusion"
IGI_accessibility_1,Accessibility,Accessibility,IGI InfoSci-Dictionary,publisher_dictionary,2026-03-29,https://www.igi-global.com/dictionary/accessibility/290,"Accessibility is a basic characteristic of the built environment, is the condition that makes possible to arrive, entry, exit and use houses, shops, theatres, parks and work places (European Union, 1996) and it allows people to participate in the social and economic activities for which they have been designed. It follows that, where there is a lack of accessibility, for example, with physical barriers, that people can suffer some degree of marginalization and, logically, a loss of quality of life with respect to others who do not suffer this lack, being worst for disabled persons (European Union, 1996).",accessibility basic characteristic built environment condition makes possible arrive entry exit use houses shops theatres parks work places european union 1996 allows people participate social economic activities designed follows lack accessibility example physical barriers people can suffer degree marginalization logically loss quality life respect others suffer lack worst disabled persons european union 1996,The Reality of Accessibility in the Public Health Systems,Handbook of Research on ICTs and Management Systems for Improving Efficiency in Healthcare and Social Care,https://www.igi-global.com/book/handbook-research-icts-management-systems/72374,accessibility_2,1,"Equity, Diversity, and Inclusion"
IGI_accessibility_10,Accessibility,Accessibility,IGI InfoSci-Dictionary,publisher_dictionary,2026-03-29,https://www.igi-global.com/dictionary/accessibility/299,"Must make available to all users all the information, regardless of their physical characteristics, in other words, must provide the right access to the websites.",must make available users information regardless physical characteristics words must provide right access websites,Information Architecture: A Study about Usability and Accessibility,Handbook of Research on Information Architecture and Management in Modern Organizations,https://www.igi-global.com/chapter/information-architecture/135782,accessibility_3,1,"Equity, Diversity, and Inclusion"
IGI_accessibility_11,Accessibility,Accessibility,IGI InfoSci-Dictionary,publisher_dictionary,2026-03-29,https://www.igi-global.com/dictionary/accessibility/300,"In the context of the ‘new economy’, the concept is understood as the set of complex conditions that make access to the cultural sphere really possible.",context new economy concept understood set complex conditions make access cultural sphere really possible,A Virtual Museum of Pompeii “ex Votos”: Design Strategies,Impact of Industry 4.0 on Architecture and Cultural Heritage,https://www.igi-global.com/chapter/a-virtual-museum-of-pompeii-ex-votos/244974,accessibility_4,1,"Equity, Diversity, and Inclusion"
IGI_accessibility_12,Accessibility,Accessibility,IGI InfoSci-Dictionary,publisher_dictionary,2026-03-29,https://www.igi-global.com/dictionary/accessibility/301,The state of being consumable by people who experience disabilities.,state consumable people experience disabilities,Assessing Practical Accessibility in Online Courses Based on Local Conditions,Methods for Analyzing and Leveraging Online Learning Data,https://www.igi-global.com/chapter/assessing-practical-accessibility-in-online-courses-based-on-local-conditions/216318,accessibility_5,1,"Equity, Diversity, and Inclusion"
IGI_accessibility_13,Accessibility,Accessibility,IGI InfoSci-Dictionary,publisher_dictionary,2026-03-29,https://www.igi-global.com/dictionary/accessibility/302,The extent to which the expected readership can retrieve information when they require it.,extent expected readership can retrieve information require,Visibility and Accessibility of Indigenous Knowledge on Open Access Institutional Repositories at Universities in Africa,Handbook of Research on Theoretical Perspectives on Indigenous Knowledge Systems in Developing Countries,https://www.igi-global.com/chapter/visibility-and-accessibility-of-indigenous-knowledge-on-open-access-institutional-repositories-at-universities-in-africa/165747,accessibility_6,1,"Equity, Diversity, and Inclusion"
IGI_accessibility_14,Accessibility,Accessibility,IGI InfoSci-Dictionary,publisher_dictionary,2026-03-29,https://www.igi-global.com/dictionary/accessibility/303,Accessibility is the provision of a website to the greatest number of consumers.,accessibility provision website greatest number consumers,Quality and Online Banking Case Study: “We Bank” Attijari Bank in Tunisia,Influence of FinTech on Management Transformation,https://www.igi-global.com/chapter/quality-and-online-banking-case-study/265840,accessibility_7,1,"Equity, Diversity, and Inclusion"
IGI_accessibility_15,Accessibility,Accessibility,IGI InfoSci-Dictionary,publisher_dictionary,2026-03-29,https://www.igi-global.com/dictionary/accessibility/304,The degree to which the information for a program or course can be used by students-with-limitations.,degree information program course can used students limitations,Resourcing Equity for Online Learners: Supporting Students-with-Limitations,Encyclopedia of Information Communication Technologies and Adult Education Integration,https://www.igi-global.com/chapter/resourcing-equity-online-learners/46614,accessibility_8,1,"Equity, Diversity, and Inclusion"
IGI_accessibility_2,Accessibility,Accessibility,IGI InfoSci-Dictionary,publisher_dictionary,2026-03-29,https://www.igi-global.com/dictionary/accessibility/291,"The quality of places that are easily reached or entered by any person, even if the person has reduced mobility.",quality places easily reached entered person even person reduced mobility,From Macro to Micro: Two Approaches to Study Urban Mobility in a Brazilian Municipality,Methods and Applications of Geospatial Technology in Sustainable Urbanism,NA,accessibility_9,1,"Equity, Diversity, and Inclusion"
IGI_accessibility_3,Accessibility,Accessibility,IGI InfoSci-Dictionary,publisher_dictionary,2026-03-29,https://www.igi-global.com/dictionary/accessibility/292,It is the state of each user to have access to any information at any time.,state user access information time,Accessibility for Everyone in Health Communication Mobile Application Usage,Multidimensional Perspectives and Global Analysis of Universal Health Coverage,NA,accessibility_10,1,"Equity, Diversity, and Inclusion"
IGI_accessibility_4,Accessibility,Accessibility,IGI InfoSci-Dictionary,publisher_dictionary,2026-03-29,https://www.igi-global.com/dictionary/accessibility/293,"Any product, service, technology or environment is accessible and available to everyone, including individuals/learners with special needs.",product service technology environment accessible available everyone including individuals learners special needs,Universal Design Principles and Technology-Supported Learning in the Digital Era: Assistive Technologies in Inclusive Learning,Ubiquitous Inclusive Learning in a Digital Era,NA,accessibility_11,1,"Equity, Diversity, and Inclusion"
IGI_accessibility_5,Accessibility,Accessibility,IGI InfoSci-Dictionary,publisher_dictionary,2026-03-29,https://www.igi-global.com/dictionary/accessibility/294,"Accessibility in the sense considered here refers to the design of products, devices, services, interactive system, or application so as to be usable by people with disabilities.",accessibility sense considered refers design products devices services interactive system application usable people disabilities,Educational Applications as a Support for Reading Disability at Elementary School,UXD and UCD Approaches for Accessible Education,https://www.igi-global.com/chapter/educational-applications-as-a-support-for-reading-disability-at-elementary-school/247876,accessibility_12,1,"Equity, Diversity, and Inclusion"
IGI_accessibility_6,Accessibility,Accessibility,IGI InfoSci-Dictionary,publisher_dictionary,2026-03-29,https://www.igi-global.com/dictionary/accessibility/295,"The material’s availability in a format that allows users with disabilities to view, read and engage. This consideration should form a part of collections and acquisition strategies.",material s availability format allows users disabilities view read engage consideration form part collections acquisition strategies,Starting and Sustaining JEDI Acquisitions and Collections in Academic Libraries: Considerations and Strategies for Success,"Perspectives on Justice, Equity, Diversity, and Inclusion in Libraries",https://www.igi-global.com/chapter/starting-and-sustaining-jedi-acquisitions-and-collections-in-academic-libraries/324422,accessibility_13,1,"Equity, Diversity, and Inclusion"
IGI_accessibility_7,Accessibility,Accessibility,IGI InfoSci-Dictionary,publisher_dictionary,2026-03-29,https://www.igi-global.com/dictionary/accessibility/296,Being able to easily obtain or use.,able easily obtain use,Keeping It Compliant: ADA in the Online Classroom,Balance and Boundaries in Creating Meaningful Relationships in Online Higher Education,https://www.igi-global.com/chapter/keeping-it-compliant/335545,accessibility_14,1,"Equity, Diversity, and Inclusion"
IGI_accessibility_8,Accessibility,Accessibility,IGI InfoSci-Dictionary,publisher_dictionary,2026-03-29,https://www.igi-global.com/dictionary/accessibility/297,"Accessibility in learning refers to the design and provision of educational materials, technologies, and environments that are inclusive and easily usable by a diverse range of learners, including those with disabilities or different learning needs.",accessibility learning refers design provision educational materials technologies environments inclusive easily usable diverse range learners including disabilities different learning needs,Transforming Higher Education With Microlessons,Global Perspectives on Micro-Learning and Micro-Credentials in Higher Education,https://www.igi-global.com/chapter/transforming-higher-education-with-microlessons/340422,accessibility_15,1,"Equity, Diversity, and Inclusion"
IGI_accessibility_9,Accessibility,Accessibility,IGI InfoSci-Dictionary,publisher_dictionary,2026-03-29,https://www.igi-global.com/dictionary/accessibility/298,"Capability of reaching destinations. It can be assessed at different levels of transport networks or systems based on various metrics (distances, time, money, other quality factors).",capability reaching destinations can assessed different levels transport networks systems based various metrics distances time money quality factors,Challenges in the Development of Urban Intermodal Mobility Systems,Handbook of Research on Promoting Sustainable Public Transportation Strategies in Urban Environments,https://www.igi-global.com/chapter/challenges-in-the-development-of-urban-intermodal-mobility-systems/317266,accessibility_16,1,"Equity, Diversity, and Inclusion"
WIKT_accessibility_1,Accessibility,Accessibility,Wiktionary,wiktionary_api,2026-01-21,https://en.wiktionary.org/wiki/accessibility,"The quality of being accessible, or of admitting approach; receptiveness.",quality accessible admitting approach receptiveness,NA,NA,NA,accessibility_17,1,"Equity, Diversity, and Inclusion"
WIKT_accessibility_2,Accessibility,Accessibility,Wiktionary,wiktionary_api,2026-01-21,https://en.wiktionary.org/wiki/accessibility,Features that increase software usability for users with certain impairments.,features increase software usability users certain impairments,NA,NA,NA,accessibility_18,1,"Equity, Diversity, and Inclusion"
FORRT_ad_hominem_bias,Ad hominem bias,Ad hominem bias,FORRT,forrt_github,2026-01-21,https://forrt.org/glossary/ad_hominem_bias,"From Latin meaning “to the person”; Judgment of an argument or piece of work influenced by the characteristics of the person who forwarded it, not the characteristics of the argument itself. Ad hominem bias can be negative, as when work from a competitor or target of personal animosity is viewed more critically than the quality of the work merits, or positive, as when work from a friend benefits from overly favorable evaluation.",latin meaning person judgment argument piece work influenced characteristics person forwarded characteristics argument ad hominem bias can negative work competitor target personal animosity viewed critically quality work merits positive work friend benefits overly favorable evaluation,NA,NA,NA,ad_hominem_bias_1,1,"Equity, Diversity, and Inclusion"
WIKT_ad-hominem-bias_1,Ad hominem bias,Ad hominem bias,Wiktionary,wiktionary_api,2026-01-21,https://en.wiktionary.org/wiki/ad%20hominem,": A fallacious objection to an argument or factual claim by appealing to a characteristic or belief of the person making the argument or claim, rather than by addressing the substance of the argument or producing evidence against the claim; an attempt to argue against an opponent's idea by discrediting the opponent themselves.",fallacious objection argument factual claim appealing characteristic belief person making argument claim rather addressing substance argument producing evidence claim attempt argue opponent s idea discrediting opponent,NA,NA,NA,ad_hominem_bias_2,1,"Equity, Diversity, and Inclusion"
WIKT_ad-hominem-bias_2,Ad hominem bias,Ad hominem bias,Wiktionary,wiktionary_api,2026-01-21,https://en.wiktionary.org/wiki/ad%20hominem,A personal attack.,personal attack,NA,NA,NA,ad_hominem_bias_3,1,"Equity, Diversity, and Inclusion"
WIKT_ad-hominem-bias_3,Ad hominem bias,Ad hominem bias,Wiktionary,wiktionary_api,2026-01-21,https://en.wiktionary.org/wiki/ad%20hominem,Of or relating to this kind of fallacious objection.,relating kind fallacious objection,NA,NA,NA,ad_hominem_bias_4,1,"Equity, Diversity, and Inclusion"
WIKT_ad-hominem-bias_4,Ad hominem bias,Ad hominem bias,Wiktionary,wiktionary_api,2026-01-21,https://en.wiktionary.org/wiki/ad%20hominem,In an ad hominem manner.,ad hominem manner,NA,NA,NA,ad_hominem_bias_5,1,"Equity, Diversity, and Inclusion"
FORRT_adversarial,Adversarial (collaborative) commentary,Adversarial (collaborative) commentary,FORRT,forrt_github,2026-01-21,https://forrt.org/glossary/adversarial,"A commentary in which the original authors of a work and critics of said work collaborate to draft a consensus statement. The aim is to draft a commentary that is free of ad hominem attacks and communicates a common understanding or at least identifies where both parties agree and disagree. In doing so, it provides a clear take-home message and path forward, rather than leaving the reader to decide between opposing views conveyed in separate commentaries.",commentary original authors work critics said work collaborate draft consensus statement aim draft commentary free ad hominem attacks communicates common understanding least identifies parties agree disagree provides clear take home message path forward rather leaving reader decide opposing views conveyed separate commentaries,NA,NA,NA,adversarial_collaborative_commentary_1,5,Learning and Research Design
WIKT_adversarial-collaborative-commentary_1,Adversarial (collaborative) commentary,Adversarial (collaborative) commentary,Wiktionary,wiktionary_api,2026-01-21,https://en.wiktionary.org/wiki/collaborative,"Of, relating to, or done by collaboration.",relating done collaboration,NA,NA,NA,adversarial_collaborative_commentary_2,5,Learning and Research Design
WIKT_adversarial-collaborative-commentary_2,Adversarial (collaborative) commentary,Adversarial (collaborative) commentary,Wiktionary,wiktionary_api,2026-01-21,https://en.wiktionary.org/wiki/collaborative,An organized group of people or entities who collaborate towards a particular goal,organized group people entities collaborate towards particular goal,NA,NA,NA,adversarial_collaborative_commentary_3,5,Learning and Research Design
FORRT_adversarial_collaboration,Adversarial collaboration,Adversarial collaboration,FORRT,forrt_github,2026-01-21,https://forrt.org/glossary/adversarial_collaboration,A collaboration where two or more researchers with opposing or contradictory theoretical views —and likely diverging predictions about study results— work together on one project. The aim is to minimise biases and methodological weaknesses as well as to establish a shared base of facts for which competing theories must account.,collaboration two researchers opposing contradictory theoretical views likely diverging predictions study results work together one project aim minimise biases methodological weaknesses well establish shared base facts competing theories must account,NA,NA,NA,adversarial_collaboration_1,2,Knowledge and Conceptual Foundations
WIKT_adversarial-collaboration_1,Adversarial collaboration,Adversarial collaboration,Wiktionary,wiktionary_api,2026-01-21,https://en.wiktionary.org/wiki/adversarial%20collaboration,"|idiomatic|uncountable}} Any of a class of study designs in which scientists with conflicting theories work together with others who are neutral or agnostic about those theories, and this team runs an experiment to test the theories empirically and thus find out whether one of the theories is contradicted by the evidence found.",idiomatic uncountable class study designs scientists conflicting theories work together others neutral agnostic theories team runs experiment test theories empirically thus find whether one theories contradicted evidence found,NA,NA,NA,adversarial_collaboration_2,2,Knowledge and Conceptual Foundations
WIKT_adversarial-collaboration_2,Adversarial collaboration,Adversarial collaboration,Wiktionary,wiktionary_api,2026-01-21,https://en.wiktionary.org/wiki/adversarial%20collaboration,An instance of such a study.,instance study,NA,NA,NA,adversarial_collaboration_3,2,Knowledge and Conceptual Foundations
FORRT_affiliation_bias,Affiliation bias,Affiliation bias,FORRT,forrt_github,2026-01-21,https://forrt.org/glossary/affiliation_bias,"This bias occurs when one’s opinions or judgements about the quality of research are influenced by the affiliation of the author(s). When publishing manuscripts, a potential example of an affiliation bias could be when editors prefer to publish work from prestigious institutions (Tvina et al., 2019).",bias occurs one s opinions judgements quality research influenced affiliation author s publishing manuscripts potential example affiliation bias editors prefer publish work prestigious institutions tvina 2019,NA,NA,NA,affiliation_bias_1,3,Scholarly Communication and Publishing
FORRT_aleatoric_uncertainty,Aleatoric uncertainty,Aleatoric uncertainty,FORRT,forrt_github,2026-01-21,https://forrt.org/glossary/aleatoric_uncertainty,"Variability in outcomes due to unknowable or inherently random factors. The stochastic component of outcome uncertainty that cannot be reduced through additional sources of information. For example, when flipping a coin, uncertainty about whether it will land on heads or tails.",variability outcomes due unknowable inherently random factors stochastic component outcome uncertainty reduced additional sources information example flipping coin uncertainty whether will land heads tails,NA,NA,NA,aleatoric_uncertainty_1,4,Statistical Inference and Methods
FORRT_altmetrics,Altmetrics,Altmetrics,FORRT,forrt_github,2026-01-21,https://forrt.org/glossary/altmetrics,"Departing from traditional citation measures, altmetrics (short for “alternative metrics”) provide an assessment of the attention and broader impact of research work based on diverse sources such as social media (e.g. Twitter), digital news media, number of preprint downloads, etc. Altmetrics have been criticized in that sensational claims usually receive more attention than serious research (Ali, 2021).",departing traditional citation measures altmetrics short alternative metrics provide assessment attention broader impact research work based diverse sources social media e g twitter digital news media number preprint downloads etc altmetrics criticized sensational claims usually receive attention serious research ali 2021,NA,NA,NA,altmetrics_1,3,Scholarly Communication and Publishing
IGI_altmetrics_1,Altmetrics,Altmetrics,IGI InfoSci-Dictionary,publisher_dictionary,2026-03-29,https://www.igi-global.com/dictionary/?p=altmetrics,"New metrics proposed as an alternative to the widely used journal impact factor and personal citation indices like the h-index. The term altmetrics was proposed in 2010 (“Altmetrics”, 2013).",new metrics proposed alternative widely used journal impact factor personal citation indices like h index term altmetrics proposed 2010 altmetrics 2013,Citation Based Indicators in Evaluation of Quality and Performance of Research and Researchers,"Encyclopedia of Information Science and Technology, Third Edition",https://www.igi-global.com/book/encyclopedia-information-science-technology-third/76156,altmetrics_2,3,Scholarly Communication and Publishing
IGI_altmetrics_2,Altmetrics,Altmetrics,IGI InfoSci-Dictionary,publisher_dictionary,2026-03-29,https://www.igi-global.com/dictionary/?p=altmetrics,An alternative way to record and document the use and impact of science.,alternative way record document use impact science,Opportunities for Adopting Open Research Data in Learning Analytics,Advancing the Power of Learning Analytics and Big Data in Education,https://www.igi-global.com/book/advancing-power-learning-analytics-big/260156,altmetrics_3,3,Scholarly Communication and Publishing
IGI_altmetrics_3,Altmetrics,Altmetrics,IGI InfoSci-Dictionary,publisher_dictionary,2026-03-29,https://www.igi-global.com/dictionary/?p=altmetrics,Alternative metrics; non-traditional ways to measure the impact of a scholarly work.,alternative metrics non traditional ways measure impact scholarly work,Data Analytics for Strategic Management: Getting the Right Data,Encyclopedia of Strategic Leadership and Management,https://www.igi-global.com/book/encyclopedia-strategic-leadership-management/157252,altmetrics_4,3,Scholarly Communication and Publishing
IGI_altmetrics_4,Altmetrics,Altmetrics,IGI InfoSci-Dictionary,publisher_dictionary,2026-03-29,https://www.igi-global.com/dictionary/?p=altmetrics,"Metrics based on social media (like blogs, Twitter, and Mendeley) which inform broader and faster measures of impact of a scientific publication, complementing traditional citation metrics.",metrics based social media like blogs twitter mendeley inform broader faster measures impact scientific publication complementing traditional citation metrics,Mapping the Dissemination of the Theory of Social Representations via Academic Social Networks,"Encyclopedia of Information Science and Technology, Fourth Edition",https://www.igi-global.com/dictionary/altmetrics/43715,altmetrics_5,3,Scholarly Communication and Publishing
WIKT_altmetrics_1,Altmetrics,Altmetrics,Wiktionary,wiktionary_api,2026-01-21,https://en.wiktionary.org/wiki/altmetrics,Non-traditional metrics proposed as an alternative to the traditional ways to measure impact factors,non traditional metrics proposed alternative traditional ways measure impact factors,NA,NA,NA,altmetrics_6,3,Scholarly Communication and Publishing
FORRT_analytic_flexibility,Analytic Flexibility,Analytic Flexibility,FORRT,forrt_github,2026-01-21,https://forrt.org/glossary/analytic_flexibility,"Analytic flexibility is a type of researcher degrees of freedom (Simmons, Nelson, & Simonsohn, 2011\) that refers specifically to the large number of choices made during data preprocessing and statistical analysis. “\[T\]he range of analysis outcomes across different acceptable analysis methods” (Carp, 2012, p. 1). Analytic flexibility can be problematic, as this variability in analytic strategies can translate into variability in research outcomes, particularly when several strategies are applied, but not transparently reported (Masur, 2021).",analytic flexibility type researcher degrees freedom simmons nelson simonsohn 2011 refers specifically large number choices made data preprocessing statistical analysis t range analysis outcomes across different acceptable analysis methods carp 2012 p 1 analytic flexibility can problematic variability analytic strategies can translate variability research outcomes particularly several strategies applied transparently reported masur 2021,NA,NA,NA,analytic_flexibility_1,3,Scholarly Communication and Publishing
FORRT_anonymity,Anonymity,Anonymity,FORRT,forrt_github,2026-01-21,https://forrt.org/glossary/anonymity,"Anonymising data refers to removing, generalising, aggregating or distorting any information which may potentially identify participants, peer-reviewers, and authors, among others. Data should be anonymised so that participants are not personally identifiable. The most basic level of anonymisation is to replace participants’ names with pseudonyms (fake names) and remove references to specific places. Anonymity is particularly important for open data and data may not be made open for anonymity concerns. Anonymity and open data has been discussed within qualitative research which often focuses on personal experiences and opinions, and in quantitative research that includes participants from clinical populations.",anonymising data refers removing generalising aggregating distorting information may potentially identify participants peer reviewers authors among others data anonymised participants personally identifiable basic level anonymisation replace participants names pseudonyms fake names remove references specific places anonymity particularly important open data data may made open anonymity concerns anonymity open data discussed within qualitative research often focuses personal experiences opinions quantitative research includes participants clinical populations,NA,NA,NA,anonymity_1,1,"Equity, Diversity, and Inclusion"
IGI_anonymity_1,Anonymity,Anonymity,IGI InfoSci-Dictionary,publisher_dictionary,2026-03-29,https://www.igi-global.com/dictionary/anonymity/1226,Where a user of a communication channel protects his or her identity from being shared with another user or with a third party.,user communication channel protects identity shared another user third party,An Exploration of Intrusive Mobile Phone Behavior,Encyclopedia of Mobile Phone Behavior,https://www.igi-global.com/book/encyclopedia-mobile-phone-behavior/121165,anonymity_2,1,"Equity, Diversity, and Inclusion"
IGI_anonymity_10,Anonymity,Anonymity,IGI InfoSci-Dictionary,publisher_dictionary,2026-03-29,https://www.igi-global.com/dictionary/anonymity/1226,"Anonymity measures the ability of a system or process to protect the identity of individuals. It can be quantified using metrics such as k-anonymity and l-diversity, which evaluate the degree to which personal information can be linked to specific individuals.",anonymity measures ability system process protect identity individuals can quantified using metrics k anonymity l diversity evaluate degree personal information can linked specific individuals,Web Search Privacy Evaluation Metrics,Protecting User Privacy in Web Search Utilization,https://www.igi-global.com/book/protecting-user-privacy-web-search/304802,anonymity_3,1,"Equity, Diversity, and Inclusion"
IGI_anonymity_11,Anonymity,Anonymity,IGI InfoSci-Dictionary,publisher_dictionary,2026-03-29,https://www.igi-global.com/dictionary/anonymity/1226,A situation in which an acting person’s identity remains unknown to others.,situation acting person s identity remains unknown others,Digital Ethics,The Strategies of Informing Technology in the 21st Century,https://www.igi-global.com/book/strategies-informing-technology-21st-century/267369,anonymity_4,1,"Equity, Diversity, and Inclusion"
IGI_anonymity_12,Anonymity,Anonymity,IGI InfoSci-Dictionary,publisher_dictionary,2026-03-29,https://www.igi-global.com/dictionary/anonymity/1226,"Under-theorized in social science research, anonymity generally refers to not knowing “the identity” of another person. Often a vague and imprecise notion of “anonymity” is cited as the reason why people are hostile and “flame” each other in online interaction. Although identity is acknowledged as complex, anonymity remains undefined. If anonymity is not defined in research, then it is difficult to know which aspects of missing identity cause hostile interaction.",theorized social science research anonymity generally refers knowing identity another person often vague imprecise notion anonymity cited reason people hostile flame online interaction although identity acknowledged complex anonymity remains undefined anonymity defined research difficult know aspects missing identity cause hostile interaction,Terminological Obfuscation in Online Research,Handbook of Research on Computer Mediated Communication,https://www.igi-global.com/book/handbook-research-computer-mediated-communication/452,anonymity_5,1,"Equity, Diversity, and Inclusion"
IGI_anonymity_13,Anonymity,Anonymity,IGI InfoSci-Dictionary,publisher_dictionary,2026-03-29,https://www.igi-global.com/dictionary/anonymity/1226,"It is the condition when acting person’s real identity is not known. In virtual environment, people usually use a nickname to ensure the anonymity.",condition acting person s real identity known virtual environment people usually use nickname ensure anonymity,Exploring Affordances and Limitations of 3D Virtual Worlds in Psychoeducational Group Counseling,Handbook of Research on Implementing Digital Reality and Interactive Technologies to Achieve Society 5.0,https://www.igi-global.com/book/handbook-research-implementing-digital-reality/292465,anonymity_6,1,"Equity, Diversity, and Inclusion"
